Name,Labels,Description,Child,Initialize
wmo_wis2_gc_downloaded_total,centre_id|report_by,Number of data items downloaded to Global Cache (not incremented when data items are retrieved from inline content),-,false
wmo_wis2_gc_downloaded_errors_total,centre_id|report_by,Number of download errors for Global Cache data,-,false
wmo_wis2_gc_last_download_timestamp_seconds,centre_id|report_by,Timestamp of last succesful download,-,false
wmo_wis2_gc_integrity_failed_total,centre_id|report_by,Number of messages for which the integrity check failed,-,false
wmo_wis2_gc_user_downloaded_files_total,user_country|topic|centre_id,Number of files downloaded successfully from the GC
wmo_wis2_gc_user_donwloaded_bytes_total,user_country|topic|centre_id,Size of data downloaded successfully from the GC
wmo_wis2_gc_user_distinct_total,user_country|topic|centre_id|bin,Number of distinct users (as distinguished by their IP address) having downloaded data. Bin takes values 5m, 15m, 1h, 6h, 1d, 1w
