Name,Labels,Description,Child
wmo_wis2_sgc_cache_delay_seconds,globalcache,Delay between origin and cache message,-
wmo_wis2_sgc_messages_cached_total,cached|centre_id|source,Number of messages for data on the cache,-
wmo_wis2_sgc_messages_published_total,from|source,Number of messages published to the cache,-
wmo_wis2_sgc_messages_received_total,from|source,Number of messages received from the cache,-
