Name,Labels,Description,Child
basecountbystation,centre_id|country|report_by|id|latitude|longitude,Expected number of observations from a station,-
datacountbystation,centre_id|country|report_by|id|latitude|longitude,Number of observations from a station received,-
percentagebystation,centre_id|country|report_by|id|latitude|longitude,Percentage of expected and received per station,-
basecountbycountry,centre_id|country|report_by,Expected number of observations aggregated by country,-
datacountbycountry,centre_id|country|report_by,Number of observations received aggregated by country,-
percentagebycountry,centre_id|country|report_by,Percentage of expected and received per country,-
