Name,Description,Note
centre_id,This metric concerns data from the given centre,-
country,This data item is from country,-
report_by,This metric is reported by the given sensor centre,-
id,WIGOS Station identifier,Only for per station data,-
latitude,Latitude of report,Only for per station data,-
longitude,Longitude of observation,Only for per station data,-
